TYP_ZVÍŘETE;JMÉNO_ZVÍŘETE;GENDER
Lizard;elegant seahorse;M
Cat;careful emu;M
Cat;cruel wombat;Z
Parrot;obedient roadrunner;Z
Fox;notable rattlesnake;M
Donkey;domestic guanaco;Z
Horse;male louse;Z
Bear;established rat;M
Lion;preliminary marmoset;Z
Bear;automatic fox;Z
Lizard;unacceptable salamander;M
Horse;neutral toucan;Z
Dog;obliged wallaby;Z
Fox;steady mite;M
Cat;consistent salmon;M
Donkey;conventional bug;M
Donkey;straight planarian;Z
Parrot;welsh slug;M
Cat;unable jackal;M
Parrot;systematic mongoose;M
Tiger;renewed octopus;Z
Lizard;crucial hookworm;Z
Parrot;psychological parakeet;M
Bear;genetic eagle;M
Lizard;concerned perch;Z
Lion;selected tern;Z
Dog;faithful sawfish;Z
Horse;philosophical partridge;Z
Dog;mature horse;M
Cat;aggregate barracuda;Z
Fox;vertical panda;Z
Tiger;coloured camel;M
Dog;maximum toad;Z
Horse;tasty cat;M
Lion;complicated gibbon;Z
Parrot;supposed walrus;Z
Cat;southern barnacle;Z
Horse;narrow lamprey;M
Parrot;critical newt;M
Lion;exuberant slug;Z
Fox;witty reindeer;M
Tiger;precise lemur;M
Fox;hot mandrill;M
Bear;orthodox wolf;Z
Donkey;final roundworm;Z
Donkey;relieved flea;Z
Lizard;high tahr;Z
Cat;troubled puffin;Z
Dog;miserable iguana;M
Parrot;fond crane;M
Cat;above mule;M
Fox;complex dog;Z
Tiger;impossible fly;Z
Lizard;greasy dog;Z
Cat;static leopon;Z
Lion;electronic silverfish;M
Horse;obliged spider;Z
Tiger;breakable ocelot;M
Tiger;open wallaby;Z
Bear;definite dragon;Z
Bear;tiny wildfowl;M
Horse;interesting scallop;M
Lion;fun grasshopper;M
Bear;nasty landfowl;M
Lizard;slimy xerinae;M
Dog;fine weasel;Z
Tiger;grey asp;M
Lion;naked emu;M
Bear;special guineafowl;M
Parrot;green mole;M
Fox;poised cicada;Z
Horse;fashionable squid;M
Horse;tame vole;M
Dog;rural possum;Z
Horse;ordinary canid;Z
Bear;illegal puffin;Z
Horse;late newt;Z
Bear;robust viper;Z
Lion;rainy elephant;Z
Parrot;embarrassed cattle;M
Cat;horrible hookworm;Z
Donkey;typical scorpion;Z
Donkey;nice mackerel;Z
Fox;kind pony;Z
Cat;distant penguin;M
Bear;gentle panther;Z
Bear;unfair monkey;M
Dog;ripe rhinoceros;M
Parrot;active tuna;M
Fox;condemned gecko;M
Lion;crooked hedgehog;M
Tiger;specific gamefowl;M
Donkey;giant clownfish;M
Dog;flexible termite;Z
Lion;silky dragon;Z
Tiger;repulsive armadillo;Z
Cat;scattered cat;Z
Dog;bright planarian;M
Fox;jittery armadillo;M
Lizard;delicate cattle;M
Bear;magic grouse;Z
Dog;dull hippopotamus;M
Parrot;wandering mackerel;M
Horse;closed alligator;Z
Lion;necessary sparrow;Z
Bear;weak baboon;M
Bear;healthy gull;Z
Dog;wet bird;Z
Parrot;subsequent octopus;Z
Dog;religious skink;Z
Cat;panicky dog;Z
Donkey;substantial stoat;Z
Bear;magnificent monkey;Z
Lizard;changing pig;Z
Bear;academic barracuda;Z
Horse;stupid sturgeon;Z
Dog;sharp felidae;M
Lion;dying pinniped;Z
Lizard;financial hare;Z
Parrot;willing firefly;Z
Fox;naked canid;Z
Bear;labour sloth;M
Bear;round anteater;M
Dog;deliberate sturgeon;M
Horse;distinguished cougar;Z
Lion;fast octopus;Z
Cat;fluttering possum;M
Parrot;dirty dog;Z
Parrot;normal elk;M
Bear;scornful goldfish;M
Fox;french crab;M
Cat;unable termite;M
Cat;tough piranha;Z
Tiger;gleaming goat;Z
Donkey;progressive mongoose;Z
Parrot;preliminary chameleon;M
Parrot;prickly quelea;Z
Cat;strict antlion;Z
Donkey;worried quail;Z
Cat;scornful bovid;Z
Cat;jealous horse;M
Bear;interior mockingbird;M
Tiger;cute hawk;Z
Lion;qualified aardwolf;Z
Horse;regional vicuna;M
Donkey;lonely cuckoo;M
Tiger;kind chipmunk;M
Parrot;quiet ant;Z
Horse;genuine nightingale;M
Bear;homeless tahr;M
Lion;fast manatee;M
Horse;shallow spoonbill;Z
Bear;identical koi;M
Bear;equivalent flamingo;Z
Tiger;appropriate unicorn;Z
Bear;tasty guppy;M
Dog;continuing kangaroo;Z
Lizard;glamorous cattle;M
Lizard;miserable ermine;M
Donkey;alert mollusk;Z
Parrot;interim albatross;M
Bear;delightful guan;Z
Parrot;tame hippopotamus;M
Cat;super cow;Z
Cat;awkward guppy;M
Horse;odd wren;M
Horse;daily goat;Z
Dog;conscious tern;Z
Horse;evolutionary flea;M
Cat;sick chameleon;M
Lion;objective eagle;M
Donkey;net elk;Z
Dog;white llama;M
Tiger;depressed aphid;Z
Bear;quick alpaca;M
Lizard;human bear;Z
Parrot;uncertain goose;Z
Donkey;cute wolverine;M
Lizard;great finch;Z
Donkey;far mouse;M
Donkey;different puma;Z
Lion;honest sparrow;Z
Lion;friendly tern;M
Lizard;northern shark;Z
Lizard;great moose;M
Cat;dear horse;M
Tiger;involved anteater;M
Dog;cautious tortoise;Z
Tiger;clean caribou;M
Tiger;many cardinal;M
Horse;marine cat;M
Parrot;cold gayal;Z
Lion;shy junglefowl;Z
Dog;furious nightingale;M
Parrot;curly egret;Z
Lizard;stupid buzzard;Z
Bear;stupid bug;M
Cat;sacred trout;M
Parrot;minor cockroach;M
Parrot;numerous vulture;M
Bear;pregnant tuna;Z
Donkey;angry butterfly;M
Bear;dirty chameleon;M
Tiger;stormy puffin;M
Cat;present marlin;Z
Lizard;living butterfly;Z
Horse;dizzy tick;Z
Tiger;crucial koala;M
Fox;dizzy cricket;M
Cat;moaning nightingale;Z
Horse;open vicuna;Z
Bear;charming cattle;Z
Dog;great flea;M
Tiger;quick tuna;Z
Parrot;rural cattle;M
Parrot;marxist parrot;M
Donkey;gradual perch;M
Lizard;bumpy bat;M
Dog;unemployed gazelle;Z
Bear;adjacent leopon;M
Bear;blonde cuckoo;Z
Dog;coming gayal;Z
Bear;thin guppy;Z
Donkey;impossible stingray;Z
Fox;dark firefly;M
Fox;psychiatric guanaco;M
Donkey;disastrous tapir;M
Parrot;psychiatric crab;Z
Fox;near peafowl;Z
Cat;intimate donkey;M
Tiger;poised finch;M
Cat;frantic goat;M
Cat;written ox;M
Lion;increasing starfish;Z
Dog;lexical crayfish;M
Lion;aggressive mastodon;M
Cat;disciplinary chameleon;M
Horse;variable zebra;Z
Lizard;friendly salamander;M
Bear;progressive otter;Z
Horse;guilty damselfly;Z
Donkey;fragile asp;M
Lion;breezy crayfish;M
Donkey;enormous tortoise;Z
Tiger;calm termite;Z
Horse;precious elk;M
Parrot;fixed snake;Z
Parrot;gastric pinniped;M
Dog;prime bobcat;M
Donkey;severe swordtail;Z
Donkey;parallel antlion;M
Lizard;dull wolf;Z
Lizard;brown leopon;Z
Dog;cautious donkey;Z
Dog;various stingray;Z
Tiger;regulatory wildcat;M
Lion;rapid heron;M
Lizard;legislative shrimp;M
Donkey;feminist cricket;M
Bear;outstanding jackal;Z
Parrot;unusual raccoon;Z
Dog;busy pig;M
Dog;secondary gerbil;M
Lion;tremendous stoat;M
Lion;international grasshopper;M
Fox;concerned sturgeon;M
Bear;envious baboon;Z
Lizard;puzzled bobcat;M
Tiger;green piranha;M
Cat;constant urial;Z
Lizard;crooked canid;M
Donkey;selected scorpion;Z
Bear;capable anteater;Z
Horse;fine mink;Z
Tiger;united wallaby;M
Horse;numerous platypus;Z
Fox;helpless monkey;M
Donkey;linguistic pheasant;Z
Dog;mass cobra;Z
Horse;equivalent urial;M
Bear;excited salmon;M
Tiger;manual whippet;Z
Tiger;magnificent cheetah;Z
Bear;nervous koi;Z
Lion;additional flea;Z
Donkey;numerous spoonbill;M
Cat;happy koala;M
Donkey;short frog;M
Tiger;creepy pheasant;Z
Fox;lengthy barracuda;Z
Lizard;potential donkey;Z
Parrot;different dog;M
Bear;equivalent walrus;Z
Donkey;tasteless sailfish;M
Fox;ill impala;Z
Bear;ugly dinosaur;Z
Lion;gigantic giraffe;M
Lion;superb tortoise;Z
Cat;heavy lungfish;M
Horse;shrill pheasant;Z
Donkey;consistent gibbon;M
Fox;filthy turkey;Z
Donkey;classic reptile;M
Bear;sensible cicada;M
Tiger;perfect ptarmigan;M
Bear;monthly pony;M
Dog;outstanding snail;Z
Horse;roman scallop;M
Donkey;obnoxious donkey;M
Lion;capitalist meadowlark;M
Lion;perfect reptile;M
Horse;giant flyingfish;M
Bear;jittery crow;M
Dog;happy sawfish;Z
Dog;intimate tyrannosaurus;Z
Lion;solar bee;Z
Cat;clumsy chinchilla;Z
Donkey;preliminary bug;M
Lizard;reduced octopus;M
Lizard;large chinchilla;Z
Lizard;practical quail;M
Fox;watery iguana;M
Cat;nutty cockroach;M
Parrot;steep gibbon;Z
Horse;colourful frog;Z
Parrot;main parakeet;Z
Tiger;mute dog;M
Lion;horizontal cephalopod;Z
Lion;frail junglefowl;M
Fox;wise lynx;Z
Lizard;extra dinosaur;Z
Bear;nutritious echidna;M
Lizard;scattered chimpanzee;M
Parrot;various xerinae;M
Tiger;passive coyote;M
Donkey;gorgeous fly;Z
Tiger;crude hyena;M
Horse;itchy snail;Z
Tiger;fat roadrunner;M
Parrot;holy tahr;M
Parrot;pretty monkey;Z
Horse;devoted raven;Z
Bear;occupational ape;Z
Lizard;small pinniped;Z
Tiger;funny manatee;Z
Lizard;perfect dog;M
Cat;unemployed dolphin;Z
Lion;crude bear;Z
Horse;similar fish;M
Donkey;sufficient ox;Z
Lion;functional coral;M
Fox;chubby clam;M
Donkey;operational bug;M
Fox;spectacular lamprey;Z
Parrot;frantic unicorn;Z
Lizard;cooperative rhinoceros;M
Bear;calm vulture;Z
Dog;communist koi;Z
Lion;local frog;Z
Fox;soft kite;Z
Lizard;various eel;M
Fox;cruel badger;Z
Lion;attractive wildcat;M
Tiger;slim puma;Z
Cat;total slug;M
Tiger;curious meadowlark;M
Parrot;bright horse;Z
Donkey;confidential gorilla;Z
Dog;human ostrich;Z
Fox;filthy horse;Z
Dog;dry skunk;Z
Dog;foolish canid;M
Horse;tall guineafowl;Z
Bear;major reptile;M
Lizard;rainy chickadee;M
Cat;few guanaco;M
Bear;institutional alligator;M
Cat;educational horse;M
Fox;green hornet;Z
Dog;ashamed anaconda;Z
Fox;cool sole;Z
Tiger;vulnerable platypus;M
Lizard;unfortunate goose;Z
Tiger;classical cephalopod;Z
Fox;encouraging wren;M
Tiger;scared porpoise;Z
Tiger;burning gopher;Z
Lion;cool chipmunk;Z
Donkey;massive minnow;M
Lion;elegant echidna;Z
Dog;round gayal;M
Donkey;gentle turkey;Z
Tiger;heavy hyena;M
Cat;deliberate toad;M
Horse;respective parakeet;M
Dog;rubber guanaco;Z
Lizard;encouraging hamster;Z
Tiger;short chicken;Z
Parrot;open jackal;M
Lion;varying cow;Z
Tiger;upset termite;M
Cat;continuing termite;Z
Parrot;unchanged meadowlark;M
Cat;continued peacock;Z
Parrot;drab cattle;M
Lion;gentle raccoon;Z
Horse;upper clam;M
Lizard;accused ape;Z
Lizard;frail guanaco;Z
Lizard;envious cheetah;M
Parrot;cautious wolverine;M
Parrot;broad amphibian;Z
Horse;drab cockroach;Z
Horse;hostile termite;Z
Donkey;artistic lamprey;M
Donkey;colossal rattlesnake;Z
Lion;functional iguana;Z
Donkey;horrible hare;Z
Cat;concrete cephalopod;M
Donkey;costly ostrich;M
Horse;significant pigeon;Z
Donkey;disturbing ermine;Z
Bear;dead barracuda;M
Donkey;guilty fowl;Z
Lizard;nuclear marlin;M
Dog;retired cat;Z
Horse;bad tarsier;Z
Lizard;numerous firefly;Z
Lion;crooked ape;Z
Bear;enthusiastic gopher;Z
Fox;quiet otter;M
Fox;crowded sawfish;M
Tiger;delightful bird;M
Bear;screeching pelican;Z
Fox;mild gamefowl;Z
Lion;pregnant leopard;M
Dog;hostile tuna;M
Fox;bright rat;Z
Tiger;indirect haddock;Z
Horse;wide hedgehog;Z
Bear;peculiar bug;Z
Fox;equivalent primate;M
Donkey;residential rabbit;M
Bear;wee leech;M
Bear;likely prawn;M
Cat;damaged rat;M
Fox;informal bird;Z
Dog;early peacock;Z
Dog;gastric orca;M
Horse;impressive gayal;Z
Horse;straightforward spider;M
Cat;faithful chinchilla;M
Bear;uncertain squirrel;Z
Dog;critical spider;Z
Lizard;present asp;M
Donkey;broken narwhal;Z
Lion;exuberant skunk;Z
Dog;terrible sawfish;Z
Tiger;loyal python;Z
Fox;evolutionary grouse;M
Tiger;better dinosaur;Z
Bear;evolutionary tern;M
Horse;alert rattlesnake;M
Cat;silly tuna;M
Dog;commercial chickadee;M
Cat;white kite;M
Lion;crooked donkey;Z
Lion;juicy koala;Z
Dog;creepy chameleon;Z
Lion;dark worm;Z
Cat;successive dolphin;M
Dog;purring yak;M
Bear;breakable hamster;Z
Horse;happy sole;Z
Fox;splendid fowl;Z
Cat;miniature mule;M
Dog;comparable hippopotamus;M
Fox;magnificent earthworm;M
Dog;explicit canidae;M
Fox;light tuna;Z
Lion;classic bug;M
Bear;preferred owl;M
Horse;hostile booby;Z
Parrot;homeless dolphin;Z
Dog;legitimate horse;M
Lizard;unusual chicken;M
Lizard;vast grasshopper;M
Tiger;unfair sturgeon;Z
Fox;adorable mosquito;Z
Parrot;fat hamster;M
Bear;permanent hornet;M
Lion;dull lion;Z
Donkey;corresponding piranha;M
Donkey;allied parrot;M
Bear;mute grasshopper;Z
Horse;nutty wren;M
Cat;strange louse;Z
Donkey;wonderful cheetah;Z
Donkey;dirty clownfish;Z
Donkey;lucky stoat;M
Horse;long horse;Z
Bear;round trout;Z
Lizard;steady chimpanzee;M
Lizard;tight salmon;M
Bear;numerous koi;M
Parrot;tame flyingfish;M
Lizard;driving eel;M
Tiger;expensive yak;M
Tiger;loud grouse;Z
Lizard;tiny sparrow;M
Parrot;little turtle;Z
Cat;key ape;Z
Tiger;upset crayfish;Z
Lizard;curious giraffe;Z
Lizard;whole bobolink;Z
Bear;underlying crayfish;M
Tiger;blank coyote;Z
Fox;miserable koi;Z
Horse;furious gazelle;Z
Lizard;horrible parrotfish;Z
Donkey;chosen loon;M
Tiger;substantial planarian;Z
Fox;clever mite;Z
Horse;quaint otter;M
Fox;ratty piranha;Z
Parrot;funny chickadee;M
Parrot;bewildered capybara;Z
Lion;expected mackerel;Z
Cat;solar anglerfish;Z
Lion;melodic coral;M
Bear;rude bonobo;M
Tiger;increasing iguana;Z
Lion;artificial emu;M
Donkey;green pinniped;Z
Horse;distinguished swift;M
Tiger;applicable tahr;M
Donkey;shaky landfowl;Z
Lion;scattered platypus;M
Dog;tall antelope;M
Dog;underlying takin;Z
Lion;unusual muskox;Z
Lion;sheer dove;Z
Bear;advisory junglefowl;M
Cat;far guineafowl;M
Donkey;net lark;M
Bear;general albatross;Z
Lion;parallel guineafowl;Z
Lizard;short tyrannosaurus;Z
Parrot;digital thrush;M
Dog;small parakeet;M
Bear;necessary egret;Z
Dog;wide snail;M
Fox;armed amphibian;M
Lizard;cheerful gerbil;M
Dog;upset termite;Z
Lion;defiant falcon;Z
Fox;homeless perch;Z
Horse;whispering rhinoceros;Z
Tiger;coloured rodent;M
Tiger;short starfish;M
Bear;early swordtail;Z
Horse;fond albatross;Z
Lion;profitable shark;Z
Dog;disabled egret;M
Lion;cautious cow;Z
Donkey;hon bedbug;M
Lizard;tall tuna;Z
Lion;mammoth haddock;M
Donkey;fantastic limpet;Z
Lizard;tropical antlion;M
Cat;select horse;Z
Lion;grumpy mite;Z
Donkey;interior constrictor;Z
Horse;amused moose;M
Donkey;dying albatross;M
Dog;sudden rook;M
Dog;coherent crawdad;M
Donkey;drab dragon;M
Dog;excessive galliform;Z
Donkey;limited mink;Z
Lion;agreeable earthworm;Z
Parrot;right smelt;M
Parrot;red lobster;M
Tiger;high wasp;M
Fox;muddy bird;M
Parrot;convenient goldfish;Z
Lion;sharp weasel;M
Tiger;variable gibbon;M
Bear;interim angelfish;M
Fox;solid stingray;Z
Cat;frail scorpion;M
Tiger;crucial viper;M
Parrot;impressive galliform;Z
Horse;petite giraffe;M
Donkey;happy shrew;M
Cat;oral gecko;M
Lizard;great otter;Z
Donkey;cheerful aardwolf;M
Parrot;bored magpie;M
Lizard;rear leech;Z
Horse;intense marmoset;M
Donkey;lonely krill;Z
Lion;mute crow;Z
Tiger;selfish koi;Z
Donkey;harsh boa;Z
Cat;bored viper;Z
Fox;massive porpoise;Z
Cat;nosy sole;Z
Donkey;enormous deer;M
Horse;lovely puffin;Z
Cat;sorry panther;M
Fox;low booby;Z
Parrot;precious jackal;M
Tiger;rude kite;M
Bear;smiling urial;M
Cat;alternative limpet;Z
Cat;shaggy caribou;Z
Fox;metropolitan panda;Z
Horse;happy meerkat;Z
Bear;kind parrot;M
Fox;common quail;M
Parrot;gothic elephant;Z
Lion;homely llama;Z
Lion;green locust;M
Lion;civilian goldfish;Z
Cat;helpful amphibian;Z
Fox;awake gerbil;Z
Fox;oral hyena;M
Donkey;intellectual mole;Z
Bear;bored moose;Z
Fox;satisfactory falcon;Z
Lizard;disgusted frog;Z
Lion;visiting goat;Z
Dog;involved crow;Z
Tiger;ugly fowl;Z
Bear;icy anglerfish;Z
Dog;sunny carp;M
Tiger;brainy carp;M
Fox;early goat;M
Cat;overwhelming clownfish;M
Dog;wicked marmot;Z
Dog;fragile guineafowl;M
Lizard;loud angelfish;Z
Cat;puny wildcat;Z
Lizard;ambitious mosquito;Z
Lion;related wren;M
Tiger;big warbler;Z
Parrot;tragic kangaroo;Z
Lizard;resonant angelfish;M
Bear;conceptual antelope;Z
Bear;funny gayal;Z
Lion;early marmoset;M
Fox;literary dragonfly;Z
Parrot;inclined panther;M
Tiger;productive yak;Z
Parrot;aesthetic fowl;Z
Cat;voiceless guineafowl;M
Tiger;quiet mollusk;Z
Cat;unfortunate crocodile;Z
Donkey;romantic tarantula;Z
Lizard;single lizard;Z
Parrot;sophisticated puffin;M
Fox;silly pigeon;M
Parrot;friendly lion;M
Dog;dynamic dove;Z
Horse;operational duck;M
Fox;weekly cattle;M
Parrot;rotten baboon;Z
Tiger;combined crawdad;Z
Lizard;tiny antelope;Z
Lion;lovely silverfish;Z
Fox;binding mole;Z
Donkey;precious falcon;M
Dog;average yak;Z
Bear;popular damselfly;M
Fox;friendly mackerel;Z
Bear;disastrous chipmunk;Z
Donkey;acute camel;M
Fox;distant llama;M
Lion;difficult macaw;Z
Tiger;sad marsupial;M
Dog;silky macaw;M
Lion;faint parrotfish;Z
Donkey;likely dolphin;Z
Bear;puny frog;M
Horse;victorian anglerfish;Z
Parrot;enormous primate;Z
Bear;experimental dove;M
Fox;inadequate marlin;M
Tiger;friendly perch;Z
Tiger;shallow slug;M
Lion;dead swordfish;Z
Horse;evident alpaca;Z
Lion;faithful rabbit;Z
Fox;functional whale;Z
Lizard;glamorous marmot;Z
Donkey;blonde spoonbill;M
Lion;mere goat;M
Tiger;fatal ladybug;M
Parrot;roman tick;M
Parrot;bitter perch;M
Donkey;annoyed ox;M
Dog;flying ptarmigan;Z
Horse;ministerial viper;M
Parrot;magnificent earthworm;Z
Parrot;generous gamefowl;Z
Tiger;following gayal;M
Cat;adequate thrush;Z
Lizard;wicked hyena;M
Cat;bottom mandrill;M
Cat;heavy haddock;Z
Cat;automatic anaconda;Z
Dog;statutory mandrill;M
Lizard;still fowl;Z
Donkey;minimal reptile;M
Dog;multiple crayfish;M
Lion;cool tick;M
Dog;afraid slug;M
Lion;important dolphin;M
Fox;tasteless stork;Z
Dog;delicate mollusk;M
Tiger;insufficient swift;M
Horse;melodic tuna;M
Bear;helpful meerkat;M
Fox;overwhelming starfish;M
Horse;numerous swordfish;Z
Lizard;liberal guanaco;M
Horse;sad whippet;Z
Lizard;large guineafowl;M
Donkey;subsequent crow;M
Lion;thoughtless bat;M
Horse;odd cuckoo;M
Cat;lonely marmot;Z
Donkey;related turkey;Z
Dog;obvious lemming;Z
Lizard;tall heron;M
Lion;firm rodent;Z
Cat;cuddly weasel;M
Parrot;precise cockroach;Z
Tiger;smooth tiglon;M
Horse;misty scorpion;Z
Horse;royal sloth;M
Parrot;extensive nightingale;M
Fox;communist ptarmigan;M
Lizard;melodic rooster;M
Lion;raspy parrot;M
Lion;head rabbit;Z
Parrot;excited gamefowl;M
Cat;long zebra;Z
Donkey;worthy gerbil;M
Parrot;kind barnacle;Z
Parrot;worthwhile panther;Z
Horse;tasty jaguar;M
Bear;fair chickadee;M
Horse;enthusiastic centipede;Z
Tiger;pregnant stoat;Z
Donkey;organisational silkworm;Z
Cat;equal tahr;Z
Cat;rubber bison;Z
Lizard;red eagle;Z
Cat;bewildered mastodon;M
Dog;sharp guan;Z
Horse;fluttering hornet;Z
Lion;spicy antlion;M
Lion;global guppy;M
Lion;ashamed jaguar;Z
Donkey;mental anglerfish;M
Cat;square snake;Z
Lizard;modern firefly;Z
Lion;left capybara;M
Bear;major cow;Z
Dog;practical gayal;Z
Fox;bloody bobcat;M
Bear;competitive macaw;Z
Tiger;boring guanaco;Z
Fox;soft porpoise;Z
Cat;impressed eel;M
Bear;extreme cricket;M
Donkey;intimate leech;Z
Horse;watery horse;Z
Parrot;desperate xerinae;M
Fox;beautiful llama;Z
Lizard;brainy sparrow;M
Parrot;relevant whippet;M
Lion;mass tarsier;M
Parrot;ugly zebra;M
Lion;negative mollusk;Z
Lion;economic clownfish;Z
Fox;satisfactory boar;M
Cat;fond cat;Z
Fox;sweet whippet;M
Parrot;uninterested galliform;M
Fox;worldwide mockingbird;M
Donkey;private bobcat;Z
Fox;successful reindeer;M
Cat;experimental pelican;Z
Bear;administrative tarantula;Z
Dog;verbal emu;Z
Cat;experienced roundworm;Z
Tiger;determined piranha;Z
Tiger;fresh orangutan;Z
Bear;juicy salmon;Z
Lizard;northern xerinae;M
Horse;watery bandicoot;Z
Bear;biological moose;M
Fox;hushed rodent;Z
Dog;appropriate krill;Z
Lion;invisible tick;Z
Donkey;relevant jaguar;M
Dog;bored galliform;M
Bear;unpleasant scorpion;Z
Donkey;eventual llama;Z
Bear;clean octopus;Z
Dog;technological ostrich;Z
Donkey;molecular halibut;M
Horse;adequate chicken;Z
Fox;typical porpoise;M
Fox;tame pony;Z
Lizard;quick moose;M
Tiger;experienced dolphin;M
Bear;exact boar;M
Cat;fellow tortoise;M
Fox;naked silkworm;M
Fox;confused fowl;M
Lion;unchanged moth;Z
Tiger;rival snail;M
Donkey;nasty spoonbill;Z
Tiger;uninterested impala;M
Donkey;quaint wasp;M
Horse;swift fox;Z
Lion;puzzled tarantula;M
Lizard;attractive alpaca;Z
Fox;odd jellyfish;Z
Parrot;hon stoat;M
Horse;distinctive toucan;M
Cat;fat stoat;M
Parrot;curious mink;M
Parrot;blank ape;Z
Tiger;historical marten;M
Horse;evil chameleon;M
Cat;contemporary hornet;M
Parrot;difficult mole;M
Parrot;gay crab;Z
Tiger;boiling donkey;Z
Parrot;experimental guan;M
Donkey;likely vole;Z
Lizard;lost swan;M
Horse;distinct peacock;Z
Cat;acceptable llama;M
Lizard;dull hyena;M
Donkey;massive tiglon;Z
Lizard;wet blackbird;Z
Fox;eastern gecko;Z
Donkey;filthy cod;Z
Lion;various pelican;M
Donkey;magenta capybara;Z
Lizard;brave orca;Z
Bear;strange snail;M
Parrot;calm toad;Z
Cat;alright monkey;M
Bear;ordinary rooster;Z
Cat;appalling rabbit;M
Donkey;extraordinary dragon;M
Cat;fine guppy;M
Donkey;feminist parrot;M
Cat;bored pig;Z
Donkey;prepared antelope;M
Fox;typical reindeer;M
Lion;eligible octopus;Z
Lion;proud hedgehog;Z
Dog;changing louse;Z
Bear;tart dog;M
Parrot;organic toucan;Z
Horse;bewildered bass;Z
Bear;selfish woodpecker;Z
Cat;mighty spider;M
Bear;panicky bee;Z
Tiger;tall orangutan;M
Horse;sharp donkey;Z
Donkey;lively cougar;M
Cat;firm booby;Z
Parrot;expensive swan;Z
Lion;soft catshark;Z
Horse;lucky mosquito;Z
Lizard;encouraging macaw;Z
Tiger;strong swan;M
Dog;rear jackal;Z
Tiger;recent silverfish;Z
Bear;eventual hookworm;M
Dog;huge camel;M
Cat;initial swordtail;Z
Dog;instant barnacle;Z
Cat;desirable urial;M
Bear;inquisitive smelt;Z
Fox;federal wallaby;Z
Dog;cautious eagle;M
Horse;uniform tarantula;M
Lizard;internal scallop;M
Lizard;terrible duck;Z
Lion;shiny fox;Z
Bear;victorious roundworm;Z
Fox;embarrassed lion;M
Bear;urgent booby;M
Lizard;operational barnacle;M
Lizard;imaginative dog;M
Donkey;giant jellyfish;Z
Lizard;new gorilla;M
Parrot;loud buzzard;M
Dog;tiny cougar;Z
Lion;awful condor;M
Dog;circular eagle;M
Fox;slow dove;Z
Bear;spontaneous opossum;Z
Cat;black lemming;Z
Cat;bare fish;M
Bear;kind hare;M
Lizard;progressive dolphin;M
Donkey;tall skink;Z
Fox;unknown raccoon;Z
Tiger;curly ptarmigan;M
Tiger;bizarre basilisk;Z
Donkey;tender rodent;Z
Donkey;fashionable newt;M
Horse;functional boa;Z
Bear;tame kingfisher;M
Fox;suitable lark;M
Parrot;moral pinniped;Z
Horse;elated toucan;Z
Horse;frozen gopher;Z
Lion;excellent marten;Z
Lizard;worthwhile aphid;M
Cat;gigantic moose;Z
Dog;nasty toad;Z
Fox;top walrus;Z
Cat;splendid grasshopper;M
Lizard;cold pig;M
Tiger;rapid cat;M
Dog;slippery echidna;M
Fox;living goldfish;Z
Cat;raspy cattle;Z
Lion;okay hornet;M
Cat;reduced silkworm;M
Donkey;solid vulture;Z
Horse;wooden puffin;Z
Horse;sleepy mackerel;M
Tiger;frail mastodon;M
Horse;crazy cheetah;M
Tiger;supreme yak;M
Fox;special piranha;Z
Lion;colorful silverfish;M
Donkey;divine alligator;Z
Donkey;molecular nightingale;Z
Horse;soft llama;Z
Horse;tory bedbug;M
Dog;unpleasant cat;Z
Lizard;gentle constrictor;M
Lizard;appalling gayal;Z
Horse;gigantic mite;Z
Cat;spontaneous unicorn;Z
Lizard;bright barracuda;M
Dog;clinical butterfly;M
Lizard;fashionable tyrannosaurus;M
Tiger;subsequent blackbird;Z
Lizard;premier hamster;Z
Donkey;handsome quokka;Z
Cat;guilty lark;M
Lion;controlled frog;M
Dog;advisory baboon;M
Parrot;like scallop;M
Cat;salty mammal;Z
Parrot;maximum koala;M
Parrot;electronic sturgeon;Z
Fox;labour toucan;M
Horse;careful shrew;Z
Lion;regulatory anteater;M
Dog;pleasant swift;M
Cat;gastric swift;Z
Tiger;spiritual chicken;M
Bear;friendly cattle;Z
Dog;tiny snipe;Z
Fox;nutty caribou;M
Dog;encouraging gayal;M
Tiger;developing marsupial;Z
Tiger;combined constrictor;M
Donkey;liquid finch;Z
Fox;yellow skunk;Z
Lizard;new opossum;Z
Bear;working sheep;Z
Parrot;tough unicorn;Z
Bear;visible chicken;Z
Fox;psychological primate;Z
Lizard;insufficient dove;M
Bear;key tick;Z
Tiger;melted starfish;Z
Lion;familiar ape;M
Horse;distinct bird;Z
Parrot;wandering bee;Z
Fox;annual monkey;Z
Cat;vertical firefly;Z
Fox;empirical mandrill;Z
Donkey;disgusted swordfish;M
Lizard;scientific piranha;Z
Dog;intermediate kingfisher;M
Horse;long unicorn;Z
Tiger;pale ant;Z
Fox;fun cougar;Z
Cat;extensive gecko;M
Tiger;special snipe;Z
Horse;coherent mollusk;M
Donkey;lazy donkey;Z
Lizard;proposed crocodile;M
Donkey;outdoor wasp;Z
Tiger;jolly felidae;Z
Lizard;modern catshark;M
Dog;giant mollusk;Z
Tiger;innocent xerinae;Z
Parrot;proper louse;M
Cat;warm frog;Z
Horse;broken fox;Z
Tiger;identical rooster;M
Tiger;interior crayfish;Z
Cat;chemical mule;M
